KeyName	ScanCode
System Power Down	0xE05E
System Sleep	0xE05F
System Wake Up	0xE063
ErrorRollOver	0x00FF
Keyboard A	0x001E
Keyboard B	0x0030
Keyboard C	0x002E
Keyboard D	0x0020
Keyboard E	0x0012
Keyboard F	0x0021
Keyboard G	0x0022
Keyboard H	0x0023
Keyboard I	0x0017
Keyboard J	0x0024
Keyboard K	0x0025
Keyboard L	0x0026
Keyboard M	0x0032
Keyboard N	0x0031
Keyboard O	0x0018
Keyboard P	0x0019
Keyboard Q	0x0010
Keyboard R	0x0013
Keyboard S	0x001F
Keyboard T	0x0014
Keyboard U	0x0016
Keyboard V	0x002F
Keyboard W	0x0011
Keyboard X	0x002D
Keyboard Y	0x0015
Keyboard Z	0x002C
Keyboard 1 and Bang	0x0002
Keyboard 2 and At	0x0003
Keyboard 3 And Hash	0x0004
Keyboard 4 and Dollar	0x0005
Keyboard 5 and Percent	0x0006
Keyboard 6 and Caret	0x0007
Keyboard 7 and Ampersand	0x0008
Keyboard 8 and Star	0x0009
Keyboard 9 and Left Bracket	0x000A
Keyboard 0 and Right Bracket	0x000B
Keyboard Return Enter	0x001C
Keyboard Escape	0x0001
Keyboard Delete	0x000E
Keyboard Tab	0x000F
Keyboard Spacebar	0x0039
Keyboard Dash and Underscore	0x000C
Keyboard Equals and Plus	0x000D
Keyboard Left Brace	0x001A
Keyboard Right Brace	0x001B
Keyboard Backslash and Pipe	0x002B
Keyboard Non-US Hash and Tilde	0x002B
Keyboard SemiColon and Colon	0x0027
Keyboard Apostrophe and Double Quotation Mark	0x0028
Keyboard Grave Accent and Tilde	0x0029
Keyboard Comma and LessThan	0x0033
Keyboard Period and GreaterThan	0x0034
Keyboard ForwardSlash and QuestionMark	0x0035
Keyboard Caps Lock	0x003A
Keyboard F1	0x003B
Keyboard F2	0x003C
Keyboard F3	0x003D
Keyboard F4	0x003E
Keyboard F5	0x003F
Keyboard F6	0x0040
Keyboard F7	0x0041
Keyboard F8	0x0042
Keyboard F9	0x0043
Keyboard F10	0x0044
Keyboard F11	0x0057
Keyboard F12	0x0058
Keyboard PrintScreen	0xE037 0x0054 *Note 1
Keyboard Scroll Lock	0x0046
Keyboard Pause	0xE11D45 0xE046 *Note 2 0x0045 *Note 3
Keyboard Insert	0xE052
Keyboard Home	0xE047
Keyboard PageUp	0xE049
Keyboard Delete Forward	0xE053
Keyboard End	0xE04F
Keyboard PageDown	0xE051
Keyboard RightArrow	0xE04D
Keyboard LeftArrow	0xE04B
Keyboard DownArrow	0xE050
Keyboard UpArrow	0xE048
Keypad Num Lock and Clear	0x0045 0xE045 *Note 3
Keypad Forward Slash	0xE035
Keypad Star	0x0037
Keypad Dash	0x004A
Keypad Plus	0x004E
Keypad ENTER	0xE01C
Keypad 1 and End	0x004F
Keypad 2 and Down Arrow	0x0050
Keypad 3 and PageDn	0x0051
Keypad 4 and Left Arrow	0x004B
Keypad 5	0x004C
Keypad 6 and Right Arrow	0x004D
Keypad 7 and Home	0x0047
Keypad 8 and Up Arrow	0x0048
Keypad 9 and PageUp	0x0049
Keypad 0 and Insert	0x0052
Keypad Period and Delete	0x0053
Keyboard Non-US Backslash and Pipe	0x0056
Keyboard Application	0xE05D
Keyboard Power	0xE05E
Keypad Equals	0x0059
Keyboard F13	0x0064
Keyboard F14	0x0065
Keyboard F15	0x0066
Keyboard F16	0x0067
Keyboard F17	0x0068
Keyboard F18	0x0069
Keyboard F19	0x006A
Keyboard F20	0x006B
Keyboard F21	0x006C
Keyboard F22	0x006D
Keyboard F23	0x006E
Keyboard F24	0x0076
Keypad Comma	0x007E
Keyboard International1	0x0073
Keyboard International2	0x0070
Keyboard International3	0x007D
Keyboard International4	0x0079
Keyboard International5	0x007B
Keyboard International6	0x005C
Keyboard LANG1	0x0072 *Note 6 0x00F2 *Note 3, 6
Keyboard LANG2	0x0071 *Note 6 0x00F1 *Note 3, 6
Keyboard LANG3	0x0078
Keyboard LANG4	0x0077
Keyboard LANG5	0x0076
Keyboard LeftControl	0x001D
Keyboard LeftShift	0x002A
Keyboard LeftAlt	0x0038
Keyboard Left GUI	0xE05B
Keyboard RightControl	0xE01D
Keyboard RightShift	0x0036
Keyboard RightAlt	0xE038
Keyboard Right GUI	0xE05C
Scan Next Track	0xE019
Scan Previous Track	0xE010
Stop	0xE024
Play/Pause	0xE022
Mute	0xE020
Volume Increment	0xE030
Volume Decrement	0xE02E
AL Consumer Control Configuration	0xE06D
AL Email Reader	0xE06C
AL Calculator	0xE021
AL Local Machine Browser	0xE06B
AC Search	0xE065
AC Home	0xE032
AC Back	0xE06A
AC Forward	0xE069
AC Stop	0xE068
AC Refresh	0xE067
AC Bookmarks	0xE066


Notes:

1. SysRq key scan code is emitted on Alt+Print screen keystroke
2. Break key scan code is emitted on Ctrl+Pause keystroke
3. As seen in legacy keyboard messages
4. The key is present on Brazilian keyboards
5. The key is present on Japanese keyboards
6. The scan code is emitted in key release event only

When the ScanCode starts with 0xE0, it indicates that the key is an extended key. In actual use, the E0 can be removed, and the flag can be set to 9 or 11 to indicate press or release.

ref:https://learn.microsoft.com/en-us/windows/win32/inputdev/about-keyboard-input
